price,location
60,chicago
8500,chicago
8500,chicago
65,chicago
65,chicago
8500,chicago
8500,chicago
2900,chicago
2900,chicago
300,chicago
300,chicago
300,chicago
300,chicago
300,chicago
300,chicago
75,sandiego
75,sandiego
75,sandiego
75,sandiego
8200,sandiego
8200,sandiego
8200,sandiego
8200,sandiego
8200,sandiego
8200,sandiego
8200,sandiego
8200,sandiego
5000,sandiego
5000,sandiego
10,sandiego
10,sandiego
16588,sfbay
16588,sfbay
16588,sfbay
16588,sfbay
16588,sfbay
16588,sfbay
16588,sfbay
75,sfbay
75,sfbay
85,sfbay
85,sfbay
85,sfbay
85,sfbay
85,sfbay
85,sfbay
85,sfbay
85,sfbay
5000,sfbay
5000,sfbay
12999,sfbay
28500,dallas
13900,dallas
13900,dallas
15500,dallas
15500,dallas
39900,dallas
39900,dallas
18900,dallas
18900,dallas
269,losangeles
269,losangeles
269,losangeles
269,losangeles
269,losangeles
269,losangeles
269,losangeles
269,losangeles
269,losangeles
269,losangeles
269,losangeles
42900,losangeles
23888,phoenix
24930,phoenix
24930,phoenix
13995,phoenix
13995,phoenix
24930,phoenix
24930,phoenix
48900,phoenix
48900,phoenix
23500,phoenix
23500,phoenix
34995,phoenix
34995,phoenix
59910,phoenix
59910,phoenix
13500,phoenix
13500,phoenix
21900,phoenix
21900,phoenix
2003,newyork
2000,newyork
2000,newyork
32000,newyork
32000,newyork
2545,newyork
2545,newyork
1950,newyork
1950,newyork
13899,newyork
13899,newyork
13899,newyork
13899,newyork
10,philadelphia
10,philadelphia
5995,philadelphia
5995,philadelphia
2000,philadelphia
2000,philadelphia
7900,philadelphia
7900,philadelphia
2000,philadelphia
2000,philadelphia
1,philadelphia
1,philadelphia
24500,philadelphia
24500,philadelphia
22500,philadelphia
22500,philadelphia
1095,philadelphia
1095,philadelphia
13000,philadelphia
300,chicago
300,chicago
2,chicago
2,chicago
75,chicago
50,sandiego
50,sandiego
199,sandiego
199,sandiego
70,sandiego
70,sandiego
50,sandiego
50,sandiego
100,sandiego
100,sandiego
35,sandiego
35,sandiego
400,sandiego
400,sandiego
300,sandiego
300,sandiego
12999,sfbay
165,sfbay
165,sfbay
175,sfbay
175,sfbay
145,sfbay
145,sfbay
8999,sfbay
8999,sfbay
10999,sfbay
10999,sfbay
10,sfbay
10,sfbay
150,sfbay
150,sfbay
29888,sfbay
29888,sfbay
32849,sfbay
32849,sfbay
21995,dallas
21995,dallas
10,dallas
10,dallas
150,dallas
150,dallas
46995,dallas
46995,dallas
19995,dallas
19995,dallas
29031,dallas
29031,dallas
16370,dallas
16370,dallas
21907,dallas
42900,losangeles
135,losangeles
135,losangeles
135,losangeles
135,losangeles
26400,losangeles
26400,losangeles
26400,losangeles
26400,losangeles
31500,losangeles
31500,losangeles
26400,losangeles
26400,losangeles
26400,losangeles
26400,losangeles
45000,phoenix
45000,phoenix
34995,phoenix
34995,phoenix
13995,phoenix
23012,newyork
23012,newyork
32900,newyork
32900,newyork
135000,newyork
135000,newyork
150,newyork
150,newyork
85,newyork
85,newyork
2500,newyork
2500,newyork
26000,newyork
26000,newyork
2545,newyork
2545,newyork
425,newyork
425,newyork
425,newyork
425,newyork
13000,philadelphia
28900,philadelphia
28900,philadelphia
71950,philadelphia
71950,philadelphia
3400,philadelphia
3400,philadelphia
15500,philadelphia
15500,philadelphia
303900,philadelphia
303900,philadelphia
100,philadelphia
100,philadelphia
950,philadelphia
950,philadelphia
27999,philadelphia
27999,philadelphia
350,philadelphia
75,chicago
150,chicago
150,chicago
1,chicago
1,chicago
18900,chicago
18900,chicago
18900,chicago
18900,chicago
18900,chicago
18900,chicago
18900,chicago
18900,chicago
18900,chicago
18900,chicago
159,chicago
159,chicago
275,sandiego
275,sandiego
1200,sandiego
1200,sandiego
1200,sandiego
1200,sandiego
1200,sandiego
36878,sfbay
36878,sfbay
22992,sfbay
22992,sfbay
35646,sfbay
35646,sfbay
21907,dallas
17731,dallas
17731,dallas
32668,dallas
32668,dallas
14995,dallas
14995,dallas
15995,dallas
15995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
46995,dallas
46995,dallas
16595,dallas
16595,dallas
42900,losangeles
42900,losangeles
60,losangeles
60,losangeles
2000,losangeles
2000,losangeles
42900,losangeles
42900,losangeles
26400,losangeles
26400,losangeles
13995,phoenix
15900,phoenix
15900,phoenix
18995,phoenix
18995,phoenix
13995,phoenix
13995,phoenix
33900,phoenix
33900,phoenix
24900,phoenix
24900,phoenix
18995,phoenix
18995,phoenix
54900,phoenix
54900,phoenix
34995,phoenix
34995,phoenix
73000,phoenix
73000,phoenix
5000,newyork
5000,newyork
125,newyork
125,newyork
200,newyork
350,philadelphia
44000,philadelphia
44000,philadelphia
5995,philadelphia
5995,philadelphia
304900,philadelphia
304900,philadelphia
15000,philadelphia
15000,philadelphia
3500,philadelphia
3500,philadelphia
1,philadelphia
1,philadelphia
8900,philadelphia
8900,philadelphia
15,philadelphia
15,philadelphia
1200,sandiego
1200,sandiego
1200,sandiego
35,sandiego
35,sandiego
400,sandiego
400,sandiego
310,sandiego
310,sandiego
60,sandiego
60,sandiego
895,sandiego
895,sandiego
68995,dallas
68995,dallas
19995,dallas
19995,dallas
19995,dallas
19995,dallas
46995,dallas
46995,dallas
15995,dallas
15995,dallas
